"M05_5m_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_05\Complete_Model\TUFLOW\runs\M05_5m_001.tcf]","Time(h)","V Pipe0 [M05_5m_001]","V Pipe1 [M05_5m_001]","V Pipe10 [M05_5m_001]","V Pipe11 [M05_5m_001]","V Pipe12 [M05_5m_001]","V Pipe13 [M05_5m_001]","V Pipe14 [M05_5m_001]","V Pipe15 [M05_5m_001]","V Pipe16 [M05_5m_001]","V Pipe17 [M05_5m_001]","V Pipe19 [M05_5m_001]","V Pipe2 [M05_5m_001]","V Pipe3 [M05_5m_001]","V Pipe4 [M05_5m_001]","V Pipe5 [M05_5m_001]","V Pipe6 [M05_5m_001]","V Pipe7 [M05_5m_001]","V Pipe8 [M05_5m_001]","V Pipe9 [M05_5m_001]","V Pit1 [M05_5m_001]","V Pit10 [M05_5m_001]","V Pit11 [M05_5m_001]","V Pit12 [M05_5m_001]","V Pit13 [M05_5m_001]","V Pit14 [M05_5m_001]","V Pit15 [M05_5m_001]","V Pit16 [M05_5m_001]","V Pit17 [M05_5m_001]","V Pit18 [M05_5m_001]","V Pit19 [M05_5m_001]","V Pit2 [M05_5m_001]","V Pit3 [M05_5m_001]","V Pit4 [M05_5m_001]","V Pit5 [M05_5m_001]","V Pit6 [M05_5m_001]","V Pit7 [M05_5m_001]","V Pit8 [M05_5m_001]","V Pit9 [M05_5m_001]"
      63,          1.033333,    0.199,    0.365,    0.777,    0.479,    0.487,    0.732,    1.312,    1.882,    2.707,    2.821,    0.487,    0.085,   -0.086,   -0.022,    0.521,    0.705,    0.294,    0.597,    0.914,    0.824,    0.134,    0.306,    0.794,    0.746,    0.649,    0.815,    0.972,    0.513,    0.304,    0.388,    0.871,    0.911,    0.972,    0.972,    0.243,   -0.152,   -0.150,   -0.002
      64,          1.050000,    0.198,    0.368,    0.676,    0.439,    0.436,    0.665,    1.160,    2.584,    2.995,    2.477,    0.670,    0.078,    0.084,    0.157,    0.721,    1.110,    0.288,    0.582,    0.881,    0.830,    0.120,    0.261,    0.692,    0.886,    0.776,    0.341,    0.972,    0.490,    0.300,    0.386,    0.877,    0.914,    0.972,    0.972,    0.219,   -0.197,   -0.124,    0.004
      65,          1.066667,    0.180,    0.379,    0.582,    0.424,    0.399,    0.649,    1.132,    2.570,    3.055,    2.433,    0.780,    0.071,    0.109,    0.213,    0.753,    1.132,    0.281,    0.567,    0.846,    0.373,    0.117,    0.254,    0.683,    0.984,    0.755,    0.200,   -0.061,    0.458,    0.293,    0.379,    0.882,    0.916,    0.972,    0.972,    0.190,   -0.223,   -0.097,    0.018
      66,          1.083333,    0.174,    0.371,    0.502,    0.393,    0.374,    0.628,    1.100,    2.552,    3.102,    2.406,    0.766,    0.064,    0.108,    0.210,    0.668,    1.112,    0.275,    0.553,    0.814,    0.264,    0.111,    0.250,    0.685,    1.062,    0.756,    0.235,   -0.142,    0.425,    0.285,    0.371,    0.888,    0.918,    0.972,    0.972,    0.164,   -0.231,   -0.082,    0.035
      67,          1.100000,    0.137,    0.332,    0.474,    0.405,    0.332,    0.601,    1.077,    2.547,    3.137,    2.386,    0.725,    0.056,    0.108,    0.208,    0.667,    1.111,    0.269,    0.537,    0.777,    0.157,    0.113,    0.249,    0.686,    1.114,    0.752,    0.234,   -0.050,    0.386,    0.276,    0.363,    0.894,    0.921,    0.972,    0.972,    0.138,   -0.212,   -0.058,    0.020
      68,          1.116667,    0.131,    0.324,    0.453,    0.392,    0.335,    0.597,    1.066,    2.539,    3.153,    2.373,    0.721,    0.050,    0.108,    0.208,    0.662,    1.106,    0.263,    0.525,    0.743,    0.124,    0.108,    0.246,    0.684,    1.144,    0.751,    0.233,   -0.044,    0.350,    0.266,    0.354,    0.901,    0.911,    0.972,    0.972,    0.117,   -0.187,   -0.050,    0.024
      69,          1.133333,    0.146,    0.337,    0.441,    0.392,    0.341,    0.594,    1.062,    2.533,    3.160,    2.367,    0.729,    0.047,    0.105,    0.204,    0.655,    1.101,    0.258,    0.515,    0.726,    0.122,    0.106,    0.245,    0.683,    1.156,    0.750,    0.233,   -0.052,    0.325,    0.262,    0.347,    0.908,    0.917,    0.972,    0.823,    0.106,   -0.170,   -0.052,    0.026
      70,          1.150000,    0.163,    0.352,    0.443,    0.390,    0.336,    0.594,    1.061,    2.530,    3.160,    2.365,    0.740,    0.047,    0.104,    0.202,    0.656,    1.098,    0.256,    0.514,    0.721,    0.128,    0.107,    0.245,    0.682,    1.159,    0.749,    0.232,   -0.060,    0.324,    0.262,    0.345,    0.914,    0.923,    0.972,    0.600,    0.105,   -0.168,   -0.050,    0.026
      71,          1.166667,    0.175,    0.362,    0.441,    0.389,    0.337,    0.593,    1.061,    2.529,    3.159,    2.365,    0.749,    0.047,    0.105,    0.202,    0.657,    1.097,    0.255,    0.514,    0.722,    0.132,    0.107,    0.245,    0.682,    1.158,    0.749,    0.231,   -0.066,    0.331,    0.265,    0.345,    0.921,    0.929,    0.972,    0.532,    0.105,   -0.169,   -0.057,    0.028
      72,          1.183333,    0.183,    0.368,    0.439,    0.389,    0.342,    0.593,    1.061,    2.530,    3.158,    2.365,    0.752,    0.049,    0.105,    0.201,    0.658,    1.098,    0.254,    0.515,    0.723,    0.135,    0.107,    0.245,    0.683,    1.157,    0.749,    0.230,   -0.067,    0.338,    0.266,    0.348,    0.929,    0.936,    0.972,    0.519,    0.110,   -0.171,   -0.054,    0.027
      73,          1.200000,    0.190,    0.373,    0.443,    0.390,    0.335,    0.593,    1.061,    2.532,    3.158,    2.367,    0.754,    0.050,    0.105,    0.200,    0.659,    1.099,    0.253,    0.511,    0.728,    0.139,    0.106,    0.245,    0.683,    1.154,    0.750,    0.230,   -0.068,    0.340,    0.270,    0.351,    0.936,    0.944,    0.972,    0.535,    0.114,   -0.173,   -0.055,    0.027
      74,          1.216667,    0.198,    0.378,    0.446,    0.390,    0.341,    0.593,    1.062,    2.535,    3.157,    2.369,    0.756,    0.052,    0.105,    0.199,    0.660,    1.100,    0.253,    0.518,    0.727,    0.144,    0.107,    0.245,    0.684,    1.150,    0.751,    0.230,   -0.071,    0.363,    0.272,    0.356,    0.944,    0.951,    0.972,    0.594,    0.120,   -0.177,   -0.055,    0.025
      75,          1.233333,    0.205,    0.384,    0.455,    0.390,    0.332,    0.594,    1.063,    2.539,    3.156,    2.373,    0.757,    0.052,    0.104,    0.197,    0.661,    1.101,    0.254,    0.514,    0.736,    0.150,    0.107,    0.246,    0.685,    1.145,    0.752,    0.230,   -0.073,    0.367,    0.278,    0.364,    0.953,    0.960,    0.972,    0.732,    0.126,   -0.182,   -0.050,    0.022
      76,          1.250000,    0.214,    0.390,    0.455,    0.390,    0.342,    0.594,    1.064,    2.542,    3.153,    2.376,    0.756,    0.054,    0.100,    0.191,    0.661,    1.103,    0.255,    0.518,    0.741,    0.159,    0.107,    0.246,    0.686,    1.139,    0.753,    0.231,   -0.075,    0.389,    0.283,    0.373,    0.961,    0.968,    0.972,    0.972,    0.133,   -0.185,   -0.061,    0.025
      77,          1.266667,    0.218,    0.393,    0.465,    0.390,    0.337,    0.594,    1.065,    2.544,    3.149,    2.378,    0.756,    0.058,    0.098,    0.189,    0.661,    1.103,    0.255,    0.522,    0.748,    0.167,    0.107,    0.246,    0.687,    1.131,    0.754,    0.231,   -0.077,    0.410,    0.287,    0.379,    0.966,    0.971,    0.972,    0.972,    0.149,   -0.195,   -0.054,    0.021
      78,          1.283333,    0.221,    0.395,    0.455,    0.391,    0.363,    0.594,    1.066,    2.546,    3.143,    2.380,    0.755,    0.061,    0.096,    0.187,    0.662,    1.104,    0.256,    0.522,    0.761,    0.176,    0.106,    0.246,    0.688,    1.123,    0.754,    0.231,   -0.080,    0.425,    0.294,    0.385,    0.968,    0.972,    0.972,    0.972,    0.162,   -0.199,   -0.067,    0.025
      79,          1.300000,    0.223,    0.398,    0.479,    0.391,    0.346,    0.595,    1.066,    2.548,    3.138,    2.382,    0.755,    0.062,    0.095,    0.185,    0.663,    1.105,    0.258,    0.526,    0.768,    0.186,    0.106,    0.247,    0.688,    1.114,    0.755,    0.231,   -0.084,    0.450,    0.301,    0.393,    0.967,    0.972,    0.972,    0.972,    0.171,   -0.208,   -0.065,    0.020
      80,          1.316667,    0.224,    0.399,    0.488,    0.393,    0.350,    0.595,    1.067,    2.551,    3.131,    2.385,    0.755,    0.066,    0.094,    0.184,    0.663,    1.106,    0.260,    0.530,    0.778,    0.198,    0.106,    0.247,    0.689,    1.104,    0.756,    0.231,   -0.089,    0.473,    0.306,    0.404,    0.969,    0.972,    0.972,    0.972,    0.187,   -0.216,   -0.070,    0.020
      81,          1.333333,    0.225,    0.399,    0.492,    0.393,    0.362,    0.595,    1.068,    2.554,    3.125,    2.387,    0.753,    0.069,    0.093,    0.182,    0.664,    1.107,    0.263,    0.536,    0.787,    0.214,    0.106,    0.247,    0.690,    1.093,    0.757,    0.232,   -0.093,    0.502,    0.312,    0.414,    0.972,    0.972,    0.972,    0.972,    0.204,   -0.222,   -0.074,    0.019
      82,          1.350000,    0.225,    0.397,    0.514,    0.393,    0.356,    0.596,    1.070,    2.557,    3.117,    2.390,    0.749,    0.072,    0.092,    0.181,    0.664,    1.109,    0.265,    0.538,    0.797,    0.235,    0.106,    0.248,    0.691,    1.081,    0.758,    0.232,   -0.097,    0.527,    0.320,    0.424,    0.972,    0.972,    0.972,    0.972,    0.225,   -0.228,   -0.075,    0.015
      83,          1.366667,    0.223,    0.395,    0.525,    0.394,    0.368,    0.596,    1.071,    2.561,    3.109,    2.394,    0.744,    0.073,    0.091,    0.180,    0.666,    1.110,    0.267,    0.545,    0.806,    0.263,    0.106,    0.248,    0.692,    1.067,    0.759,    0.232,   -0.101,    0.565,    0.327,    0.436,    0.972,    0.972,    0.972,    0.972,    0.242,   -0.231,   -0.083,    0.013
      84,          1.383333,    0.218,    0.389,    0.544,    0.396,    0.374,    0.597,    1.073,    2.565,    3.100,    2.398,    0.738,    0.076,    0.090,    0.179,    0.667,    1.112,    0.269,    0.549,    0.814,    0.307,    0.105,    0.249,    0.693,    1.052,    0.760,    0.232,   -0.103,    0.604,    0.335,    0.448,    0.972,    0.972,    0.972,    0.972,    0.266,   -0.232,   -0.089,    0.011
      85,          1.400000,    0.212,    0.382,    0.565,    0.399,    0.384,    0.599,    1.076,    2.569,    3.089,    2.403,    0.728,    0.079,    0.090,    0.178,    0.669,    1.114,    0.271,    0.553,    0.822,    0.382,    0.104,    0.249,    0.694,    1.035,    0.761,    0.232,   -0.101,    0.648,    0.342,    0.461,    0.972,    0.972,    0.972,    0.972,    0.295,   -0.232,   -0.095,    0.008
      86,          1.416667,    0.202,    0.372,    0.587,    0.403,    0.395,    0.602,    1.079,    2.575,    3.078,    2.408,    0.716,    0.081,    0.089,    0.176,    0.673,    1.116,    0.274,    0.559,    0.830,    0.535,    0.104,    0.249,    0.695,    1.015,    0.763,    0.231,   -0.090,    0.703,    0.351,    0.475,    0.972,    0.972,    0.972,    0.972,    0.328,   -0.229,   -0.101,    0.004
      87,          1.433333,    0.189,    0.358,    0.610,    0.408,    0.407,    0.605,    1.083,    2.581,    3.065,    2.414,    0.701,    0.083,    0.087,    0.175,    0.681,    1.120,    0.276,    0.564,    0.838,    0.917,    0.103,    0.250,    0.696,    0.994,    0.764,    0.229,   -0.055,    0.778,    0.361,    0.491,    0.972,    0.972,    0.972,    0.972,    0.373,   -0.225,   -0.107,    0.000
      88,          1.450000,    0.179,    0.347,    0.635,    0.413,    0.419,    0.609,    1.088,    2.588,    3.052,    2.421,    0.687,    0.085,    0.087,    0.173,    0.694,    1.126,    0.280,    0.570,    0.845,    0.951,    0.102,    0.250,    0.697,    0.971,    0.765,    0.225,    0.023,    0.881,    0.371,    0.511,    0.972,    0.972,    0.972,    0.972,    0.433,   -0.218,   -0.113,   -0.004
      89,          1.466667,    0.176,    0.343,    0.661,    0.418,    0.432,    0.613,    1.092,    2.596,    3.037,    2.428,    0.680,    0.088,    0.086,    0.172,    0.716,    1.134,    0.285,    0.577,    0.852,    0.961,    0.101,    0.251,    0.698,    0.945,    0.765,    0.218,    0.143,    0.922,    0.382,    0.536,    0.972,    0.972,    0.972,    0.972,    0.534,   -0.211,   -0.120,   -0.008
      90,          1.483333,    0.176,    0.343,    0.688,    0.423,    0.446,    0.616,    1.097,    2.605,    3.020,    2.436,    0.679,    0.090,    0.086,    0.172,    0.734,    1.141,    0.291,    0.587,    0.857,    0.963,    0.100,    0.251,    0.700,    0.917,    0.765,    0.231,    0.308,    0.944,    0.398,    0.571,    0.972,    0.972,    0.972,    0.972,    0.734,   -0.201,   -0.127,   -0.013
      91,          1.500000,    0.176,    0.342,    0.719,    0.430,    0.464,    0.621,    1.102,    2.615,    3.001,    2.446,    0.680,    0.088,    0.086,    0.172,    0.735,    1.145,    0.295,    0.596,    0.862,    0.967,    0.099,    0.251,    0.703,    0.883,    0.769,    0.260,    0.972,    0.956,    0.418,    0.607,    0.972,    0.972,    0.972,    0.972,    0.972,   -0.183,   -0.134,   -0.018
      92,          1.516667,    0.174,    0.340,    0.753,    0.437,    0.483,    0.626,    1.109,    2.627,    2.978,    2.459,    0.675,    0.086,    0.085,    0.171,    0.730,    1.148,    0.301,    0.610,    0.866,    0.972,    0.098,    0.252,    0.705,    0.842,    0.773,    0.308,    0.972,    0.972,    0.446,    0.658,    0.972,    0.972,    0.972,    0.972,    0.972,   -0.158,   -0.142,   -0.025
      93,          1.533333,    0.173,    0.338,    0.790,    0.448,    0.506,    0.632,    1.121,    2.617,    2.944,    2.485,    0.674,    0.084,    0.085,    0.171,    0.729,    1.192,    0.308,    0.625,    0.869,    0.972,    0.095,    0.255,    0.712,    0.793,    0.743,    0.420,    0.972,    0.972,    0.481,    0.728,    0.972,    0.972,    0.972,    0.972,    0.972,   -0.125,   -0.149,   -0.032
      94,          1.550000,    0.174,    0.340,    0.827,    0.458,    0.530,    0.643,    1.143,    2.575,    2.894,    2.531,    0.681,    0.083,    0.086,    0.175,    0.741,    1.267,    0.301,    0.638,    0.867,    0.972,    0.096,    0.261,    0.725,    0.730,    0.679,    0.681,    0.972,    0.972,    0.555,    0.742,    0.972,    0.972,    0.972,    0.972,    0.972,   -0.077,   -0.157,   -0.039
      95,          1.566667,    0.184,    0.364,    0.861,    0.483,    0.561,    0.679,    1.228,    2.363,    2.787,    2.632,    0.748,    0.082,    0.097,    0.202,    0.825,    1.189,    0.297,    0.651,    0.865,    0.972,    0.101,    0.285,    0.731,    0.657,    0.660,    0.725,    0.972,    0.972,    0.651,    0.744,    0.972,    0.972,    0.972,    0.972,    0.972,   -0.011,   -0.177,   -0.042
      96,          1.583333,    0.186,    0.370,    0.887,    0.527,    0.605,    0.756,    1.434,    2.062,    2.627,    2.716,    0.766,    0.082,    0.100,    0.209,    0.848,    1.044,    0.295,    0.647,    0.848,    0.972,    0.119,    0.353,    0.666,    0.668,    0.674,    0.972,    0.972,    0.972,    0.720,    0.746,    0.972,    0.972,    0.972,    0.972,    0.972,    0.116,   -0.191,   -0.042
      97,          1.600000,    0.177,    0.349,    0.886,    0.569,    0.648,    0.832,    1.646,    1.768,    2.443,    2.792,    0.800,    0.081,    0.179,    0.277,    0.869,    0.952,    0.292,    0.630,    0.820,    0.972,    0.136,    0.424,    0.663,    0.669,    0.667,    0.972,    0.972,    0.972,    0.726,    0.748,    0.972,    0.972,    0.972,    0.972,    0.972,    0.457,   -0.189,   -0.042
      98,          1.616667,    0.179,    0.347,    0.866,    0.606,    0.688,    0.897,    1.836,    1.585,    2.282,    2.815,    0.811,    0.080,    0.197,    0.293,    0.878,    0.950,    0.290,    0.621,    0.806,    0.972,    0.151,    0.490,    0.672,    0.669,    0.673,    0.972,    0.972,    0.972,    0.729,    0.749,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,   -0.169,   -0.044
      99,          1.633333,    0.204,    0.409,    0.852,    0.642,    0.727,    0.959,    2.021,    1.419,    2.118,    2.812,    0.833,    0.079,    0.689,    0.258,    0.895,    0.961,    0.287,    0.613,    0.794,    0.972,    0.165,    0.626,    0.667,    0.681,    0.688,    0.972,    0.972,    0.972,    0.731,    0.751,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,   -0.143,   -0.051
     100,          1.650000,    0.238,    0.430,    0.842,    0.734,    0.786,    1.166,    2.125,    1.315,    1.964,    2.756,    0.894,    0.078,    0.643,    0.263,    0.955,    1.018,    0.285,    0.607,    0.786,    0.972,    0.227,    0.670,    0.674,    0.728,    0.749,    0.972,    0.972,    0.972,    0.732,    0.753,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,   -0.082,   -0.038
     101,          1.666667,    0.290,    0.480,    0.833,    0.829,    0.835,    1.399,    2.184,    1.445,    1.833,    2.673,    1.206,    0.078,    0.636,    0.283,    1.022,    1.137,    0.283,    0.602,    0.778,    0.972,    0.357,    0.667,    0.685,    0.916,    0.972,    0.972,    0.972,    0.972,    0.734,    0.755,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.002,   -0.008
     102,          1.683333,    0.764,    0.468,    0.826,    0.915,    0.873,    1.614,    2.238,    1.365,    1.674,    2.594,    1.193,    0.077,    0.635,    0.255,    1.183,    1.104,    0.281,    0.597,    0.771,    0.972,    0.545,    0.674,    0.723,    0.972,    0.972,    0.972,    0.972,    0.972,    0.735,    0.757,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.136,    0.049
     103,          1.700000,    0.757,    0.465,    0.836,    1.108,    0.895,    1.781,    2.235,    1.294,    1.523,    2.455,    1.153,    0.079,    0.633,    0.241,    1.196,    1.060,    0.281,    0.598,    0.777,    0.972,    0.671,    0.690,    0.876,    0.972,    0.972,    0.972,    0.972,    0.972,    0.737,    0.759,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.446
     104,          1.716667,    0.755,    0.466,    1.001,    1.279,    1.102,    1.803,    2.112,    1.249,    1.701,    2.219,    1.135,    0.105,    0.631,    0.234,    1.171,    1.029,    0.306,    0.657,    0.900,    0.972,    0.685,    0.761,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.738,    0.761,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     105,          1.733333,    0.752,    0.465,    0.958,    1.154,    1.045,    1.518,    1.688,    1.227,    1.658,    1.773,    1.126,    0.099,    0.630,    0.231,    1.158,    1.015,    0.299,    0.641,    0.869,    0.972,    0.727,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.740,    0.764,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     106,          1.750000,    0.750,    0.463,    0.952,    1.088,    1.017,    1.326,    1.429,    1.215,    1.576,    1.565,    1.120,    0.121,    0.628,    0.229,    1.151,    1.006,    0.339,    0.658,    0.885,    0.972,    0.832,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.741,    0.766,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     107,          1.766667,    0.747,    0.460,    0.947,    1.063,    1.003,    1.215,    1.337,    1.207,    1.525,    1.491,    1.114,    0.101,    0.626,    0.228,    1.145,    1.000,    0.946,    0.673,    0.888,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.743,    0.770,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     108,          1.783333,    0.744,    0.457,    0.928,    1.036,    0.981,    1.193,    1.293,    1.199,    1.495,    1.455,    1.108,    0.567,    0.624,    0.226,    1.139,    0.994,    0.872,    0.709,    0.890,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.746,    0.774,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     109,          1.800000,    0.740,    0.454,    0.914,    0.998,    0.947,    1.176,    1.262,    1.192,    1.475,    1.431,    1.102,    0.619,    0.621,    0.225,    1.132,    0.987,    0.869,    0.789,    0.938,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.749,    0.779,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     110,          1.816667,    0.737,    0.451,    1.232,    0.982,    0.891,    1.159,    1.230,    1.185,    1.458,    1.406,    1.095,    0.616,    0.618,    0.223,    1.125,    0.980,    0.865,    1.088,    1.187,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.752,    0.784,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     111,          1.833333,    0.733,    0.448,    1.206,    0.963,    0.851,    1.141,    1.191,    1.177,    1.435,    1.378,    1.089,    0.613,    0.616,    0.222,    1.119,    0.973,    0.861,    1.079,    1.174,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.757,    0.789,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     112,          1.850000,    0.729,    0.444,    1.196,    0.956,    1.227,    1.123,    1.251,    1.170,    1.411,    1.351,    1.082,    0.611,    0.613,    0.221,    1.112,    0.966,    0.857,    1.072,    1.166,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.762,    0.795,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     113,          1.866667,    0.726,    0.441,    1.187,    0.953,    1.215,    1.120,    1.308,    1.162,    1.391,    1.334,    1.076,    0.608,    0.610,    0.220,    1.105,    0.959,    0.853,    1.066,    1.158,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.768,    0.801,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     114,          1.883333,    0.722,    0.437,    1.179,    0.952,    1.206,    1.107,    1.293,    1.155,    1.377,    1.319,    1.069,    0.605,    0.607,    0.218,    1.099,    0.952,    0.849,    1.060,    1.150,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.774,    0.807,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     115,          1.900000,    0.718,    0.434,    1.171,    0.950,    1.198,    1.095,    1.280,    1.147,    1.366,    1.305,    1.063,    0.602,    0.604,    0.216,    1.092,    0.945,    0.845,    1.054,    1.143,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.780,    0.813,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     116,          1.916667,    0.714,    0.430,    1.163,    0.947,    1.189,    1.084,    1.269,    1.138,    1.356,    1.294,    1.056,    0.599,    0.601,    0.215,    1.085,    1.029,    0.841,    1.047,    1.135,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.787,    0.820,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     117,          1.933333,    0.710,    0.427,    1.155,    0.943,    1.180,    1.073,    1.259,    1.132,    1.349,    1.282,    1.049,    0.596,    0.598,    0.213,    1.077,    1.023,    0.837,    1.041,    1.127,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.794,    0.827,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     118,          1.950000,    0.706,    0.423,    1.146,    0.939,    1.172,    1.063,    1.249,    1.127,    1.341,    1.272,    1.042,    0.593,    0.595,    0.212,    1.070,    1.103,    0.833,    1.034,    1.119,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.801,    0.835,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     119,          1.966667,    0.702,    0.633,    1.138,    0.936,    1.163,    1.053,    1.239,    1.117,    1.334,    1.262,    1.034,    0.590,    0.592,    0.211,    1.062,    1.091,    0.828,    1.028,    1.111,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.809,    0.844,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     120,          1.983333,    0.698,    0.839,    1.130,    0.932,    1.155,    1.043,    1.229,    1.107,    1.324,    1.251,    1.028,    0.587,    0.589,    0.207,    1.055,    1.082,    0.824,    1.021,    1.103,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.818,    0.853,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     121,          2.000000,    0.694,    0.831,    1.121,    0.928,    1.146,    1.033,    1.219,    1.100,    1.315,    1.241,    1.021,    0.584,    0.586,    0.208,    1.048,    1.075,    0.819,    1.014,    1.095,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.827,    0.862,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     122,          2.016667,    0.695,    0.829,    1.114,    0.924,    1.138,    1.024,    1.210,    1.093,    1.306,    1.232,    1.016,    0.584,    0.585,    0.205,    1.042,    1.069,    0.819,    1.011,    1.090,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.827,    0.860,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     123,          2.033334,    0.697,    0.831,    1.114,    0.924,    1.136,    1.019,    1.203,    1.089,    1.300,    1.225,    1.015,    0.586,    0.587,    0.203,    1.040,    1.065,    0.821,    1.013,    1.091,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.825,    0.855,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     124,          2.050000,    0.698,    0.834,    1.116,    0.927,    1.138,    1.019,    1.201,    1.088,    1.299,    1.222,    1.017,    0.587,    0.588,    0.203,    1.041,    1.065,    0.823,    1.016,    1.094,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.823,    0.851,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     125,          2.066667,    0.700,    0.836,    1.119,    0.929,    1.140,    1.022,    1.203,    1.090,    1.302,    1.223,    1.020,    0.588,    0.590,    0.203,    1.043,    1.067,    0.825,    1.018,    1.097,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.819,    0.847,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     126,          2.083333,    0.702,    0.839,    1.123,    0.931,    1.144,    1.026,    1.206,    1.092,    1.308,    1.226,    1.023,    0.590,    0.591,    0.204,    1.046,    1.070,    0.827,    1.021,    1.100,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.816,    0.843,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     127,          2.100000,    0.704,    0.841,    1.126,    0.933,    1.148,    1.030,    1.210,    1.096,    1.315,    1.230,    1.026,    0.591,    0.593,    0.205,    1.050,    1.073,    0.830,    1.024,    1.104,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.812,    0.839,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     128,          2.116667,    0.706,    0.844,    1.130,    0.935,    1.152,    1.034,    1.214,    1.099,    1.324,    1.234,    1.030,    0.593,    0.594,    0.205,    1.053,    1.077,    0.832,    1.028,    1.108,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.808,    0.835,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
