"M05_5m_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_05\Complete_Model\TUFLOW\runs\M05_5m_001.tcf]","Time(h)","Entry LC Pipe0 [M05_5m_001]","Additional LC Pipe0 [M05_5m_001]","Exit LC Pipe0 [M05_5m_001]","Entry LC Pipe1 [M05_5m_001]","Additional LC Pipe1 [M05_5m_001]","Exit LC Pipe1 [M05_5m_001]","Entry LC Pipe10 [M05_5m_001]","Additional LC Pipe10 [M05_5m_001]","Exit LC Pipe10 [M05_5m_001]","Entry LC Pipe11 [M05_5m_001]","Additional LC Pipe11 [M05_5m_001]","Exit LC Pipe11 [M05_5m_001]","Entry LC Pipe12 [M05_5m_001]","Additional LC Pipe12 [M05_5m_001]","Exit LC Pipe12 [M05_5m_001]","Entry LC Pipe13 [M05_5m_001]","Additional LC Pipe13 [M05_5m_001]","Exit LC Pipe13 [M05_5m_001]","Entry LC Pipe14 [M05_5m_001]","Additional LC Pipe14 [M05_5m_001]","Exit LC Pipe14 [M05_5m_001]","Entry LC Pipe15 [M05_5m_001]","Additional LC Pipe15 [M05_5m_001]","Exit LC Pipe15 [M05_5m_001]","Entry LC Pipe16 [M05_5m_001]","Additional LC Pipe16 [M05_5m_001]","Exit LC Pipe16 [M05_5m_001]","Entry LC Pipe17 [M05_5m_001]","Additional LC Pipe17 [M05_5m_001]","Exit LC Pipe17 [M05_5m_001]","Entry LC Pipe19 [M05_5m_001]","Additional LC Pipe19 [M05_5m_001]","Exit LC Pipe19 [M05_5m_001]","Entry LC Pipe2 [M05_5m_001]","Additional LC Pipe2 [M05_5m_001]","Exit LC Pipe2 [M05_5m_001]","Entry LC Pipe3 [M05_5m_001]","Additional LC Pipe3 [M05_5m_001]","Exit LC Pipe3 [M05_5m_001]","Entry LC Pipe4 [M05_5m_001]","Additional LC Pipe4 [M05_5m_001]","Exit LC Pipe4 [M05_5m_001]","Entry LC Pipe5 [M05_5m_001]","Additional LC Pipe5 [M05_5m_001]","Exit LC Pipe5 [M05_5m_001]","Entry LC Pipe6 [M05_5m_001]","Additional LC Pipe6 [M05_5m_001]","Exit LC Pipe6 [M05_5m_001]","Entry LC Pipe7 [M05_5m_001]","Additional LC Pipe7 [M05_5m_001]","Exit LC Pipe7 [M05_5m_001]","Entry LC Pipe8 [M05_5m_001]","Additional LC Pipe8 [M05_5m_001]","Exit LC Pipe8 [M05_5m_001]","Entry LC Pipe9 [M05_5m_001]","Additional LC Pipe9 [M05_5m_001]","Exit LC Pipe9 [M05_5m_001]","LC Pit1 [M05_5m_001]","LC Pit10 [M05_5m_001]","LC Pit11 [M05_5m_001]","LC Pit12 [M05_5m_001]","LC Pit13 [M05_5m_001]","LC Pit14 [M05_5m_001]","LC Pit15 [M05_5m_001]","LC Pit16 [M05_5m_001]","LC Pit17 [M05_5m_001]","LC Pit18 [M05_5m_001]","LC Pit19 [M05_5m_001]","LC Pit2 [M05_5m_001]","LC Pit3 [M05_5m_001]","LC Pit4 [M05_5m_001]","LC Pit5 [M05_5m_001]","LC Pit6 [M05_5m_001]","LC Pit7 [M05_5m_001]","LC Pit8 [M05_5m_001]","LC Pit9 [M05_5m_001]"
      35,          0.566667,0.50,0.00,0.40,0.22,0.00,0.35,0.20,0.00,0.62,0.20,0.00,0.48,0.20,0.00,0.59,0.21,0.41,0.59,0.20,0.00,0.61,0.00,0.00,0.00,0.17,0.12,1.00,0.20,0.00,0.53,0.21,0.79,0.59,0.50,0.00,0.00,0.50,0.00,0.38,0.22,0.00,0.07,0.20,0.00,0.54,0.20,0.00,0.43,0.50,0.00,0.32,0.22,0.00,0.46,0.21,0.53,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      36,          0.583333,0.50,0.00,0.41,0.22,0.00,0.34,0.20,0.00,0.63,0.20,0.00,0.43,0.20,0.00,0.62,0.22,0.36,0.56,0.21,0.00,0.61,0.18,0.16,0.47,0.17,0.12,1.00,0.20,0.00,0.55,0.21,0.80,0.59,0.50,0.00,0.00,0.50,0.00,0.38,0.22,0.00,0.08,0.20,0.00,0.56,0.20,0.00,0.45,0.50,0.00,0.32,0.22,0.00,0.46,0.21,0.53,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      37,          0.600000,0.50,0.00,0.40,0.22,0.00,0.34,0.20,0.00,0.63,0.20,0.00,0.44,0.20,0.00,0.63,0.22,0.37,0.52,0.21,0.00,0.60,0.18,0.16,0.47,0.18,0.12,1.00,0.20,0.00,0.56,0.21,0.80,0.59,0.50,0.00,0.00,0.50,0.00,0.39,0.22,0.00,0.08,0.20,0.00,0.57,0.20,0.00,0.47,0.50,0.00,0.32,0.22,0.00,0.46,0.21,0.54,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      38,          0.616667,0.50,0.00,0.40,0.22,0.00,0.35,0.20,0.00,0.63,0.19,0.00,0.45,0.19,0.00,0.63,0.22,0.37,0.49,0.21,0.00,0.59,0.19,0.16,0.47,0.18,0.12,1.00,0.20,0.00,0.57,0.21,0.80,0.59,0.50,0.00,0.00,0.50,0.00,0.38,0.22,0.00,0.08,0.20,0.00,0.59,0.20,0.00,0.49,0.50,0.00,0.32,0.22,0.00,0.46,0.21,0.54,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      39,          0.633333,0.50,0.00,0.41,0.22,0.00,0.35,0.20,0.00,0.63,0.19,0.00,0.45,0.19,0.00,0.63,0.22,0.38,0.47,0.22,0.00,0.58,0.19,0.16,0.47,0.18,0.12,1.00,0.20,0.00,0.58,0.21,0.80,0.59,0.50,0.00,0.00,0.50,0.00,0.38,0.22,0.00,0.08,0.20,0.00,0.59,0.20,0.00,0.50,0.50,0.00,0.32,0.22,0.00,0.46,0.21,0.53,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      40,          0.650000,0.50,0.00,0.41,0.22,0.00,0.35,0.20,0.00,0.63,0.19,0.00,0.45,0.19,0.00,0.63,0.22,0.38,0.46,0.22,0.00,0.57,0.19,0.17,0.47,0.18,0.12,1.00,0.21,0.00,0.58,0.21,0.80,0.59,0.50,0.00,0.00,0.50,0.00,0.38,0.22,0.00,0.08,0.20,0.00,0.59,0.20,0.00,0.51,0.50,0.00,0.32,0.22,0.00,0.46,0.21,0.53,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      41,          0.666667,0.50,0.00,0.41,0.22,0.00,0.36,0.20,0.00,0.63,0.19,0.00,0.46,0.19,0.00,0.63,0.22,0.38,0.45,0.22,0.00,0.57,0.19,0.17,0.47,0.18,0.12,1.00,0.21,0.00,0.58,0.21,0.81,0.59,0.50,0.00,0.00,0.50,0.00,0.38,0.22,0.00,0.07,0.20,0.00,0.60,0.20,0.00,0.52,0.50,0.00,0.32,0.22,0.00,0.46,0.21,0.53,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      42,          0.683333,0.50,0.00,0.41,0.22,0.00,0.36,0.20,0.00,0.63,0.19,0.00,0.46,0.19,0.00,0.63,0.22,0.39,0.45,0.22,0.00,0.56,0.19,0.17,0.47,0.18,0.12,1.00,0.21,0.00,0.57,0.21,0.81,0.59,0.50,0.00,0.00,0.50,0.00,0.38,0.22,0.00,0.07,0.20,0.00,0.60,0.20,0.00,0.53,0.50,0.00,0.32,0.22,0.00,0.46,0.21,0.53,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      43,          0.700000,0.50,0.00,0.41,0.22,0.00,0.36,0.20,0.00,0.63,0.19,0.00,0.46,0.19,0.00,0.63,0.22,0.39,0.44,0.22,0.00,0.56,0.19,0.17,0.47,0.18,0.12,1.00,0.21,0.00,0.57,0.21,0.81,0.59,0.50,0.00,0.00,0.50,0.00,0.38,0.22,0.00,0.07,0.20,0.00,0.60,0.20,0.00,0.54,0.50,0.00,0.32,0.22,0.00,0.46,0.21,0.53,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      44,          0.716667,0.50,0.00,0.41,0.22,0.00,0.36,0.20,0.00,0.63,0.19,0.00,0.47,0.19,0.00,0.63,0.22,0.39,0.44,0.22,0.00,0.56,0.19,0.17,0.48,0.18,0.12,1.00,0.21,0.00,0.57,0.21,0.81,0.59,0.50,0.00,0.00,0.50,0.00,0.38,0.22,0.00,0.07,0.20,0.00,0.60,0.20,0.00,0.55,0.50,0.00,0.32,0.22,0.00,0.46,0.21,0.53,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      45,          0.733333,0.50,0.00,0.40,0.22,0.00,0.34,0.20,0.00,0.63,0.19,0.00,0.47,0.19,0.00,0.63,0.22,0.39,0.43,0.22,0.00,0.56,0.20,0.17,0.48,0.18,0.12,1.00,0.21,0.00,0.57,0.21,0.80,0.59,0.50,0.00,0.00,0.50,0.00,0.38,0.22,0.00,0.09,0.20,0.00,0.60,0.20,0.00,0.56,0.50,0.00,0.32,0.22,0.00,0.46,0.21,0.53,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      46,          0.750000,0.50,0.00,0.39,0.22,0.00,0.34,0.20,0.00,0.63,0.19,0.00,0.47,0.19,0.00,0.63,0.22,0.40,0.43,0.22,0.00,0.55,0.20,0.17,0.48,0.18,0.12,1.00,0.21,0.00,0.56,0.21,0.80,0.59,0.50,0.00,0.00,0.50,0.00,0.38,0.22,0.00,0.10,0.20,0.00,0.60,0.20,0.00,0.56,0.50,0.00,0.32,0.22,0.00,0.47,0.21,0.53,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      47,          0.766667,0.50,0.00,0.39,0.22,0.00,0.34,0.20,0.00,0.63,0.19,0.00,0.47,0.19,0.00,0.63,0.21,0.40,0.42,0.22,0.00,0.55,0.20,0.16,0.48,0.18,0.12,1.00,0.21,0.00,0.56,0.21,0.80,0.59,0.50,0.00,0.00,0.50,0.00,0.38,0.22,0.00,0.10,0.20,0.00,0.60,0.20,0.00,0.56,0.50,0.00,0.32,0.22,0.00,0.46,0.21,0.53,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      48,          0.783333,0.50,0.00,0.40,0.22,0.00,0.35,0.20,0.00,0.63,0.19,0.00,0.48,0.19,0.00,0.63,0.21,0.40,0.41,0.22,0.00,0.55,0.20,0.16,0.48,0.18,0.12,1.00,0.21,0.00,0.56,0.21,0.81,0.59,0.50,0.00,0.00,0.50,0.00,0.38,0.22,0.00,0.09,0.20,0.00,0.60,0.20,0.00,0.56,0.50,0.00,0.32,0.22,0.00,0.46,0.21,0.54,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      49,          0.800000,0.50,0.00,0.42,0.22,0.00,0.36,0.20,0.00,0.63,0.19,0.00,0.48,0.19,0.00,0.63,0.21,0.40,0.41,0.22,0.00,0.55,0.20,0.16,0.47,0.18,0.12,1.00,0.21,0.00,0.57,0.21,0.81,0.59,0.50,0.00,0.00,0.50,0.00,0.38,0.22,0.00,0.08,0.20,0.00,0.60,0.20,0.00,0.56,0.50,0.00,0.32,0.22,0.00,0.46,0.21,0.54,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      50,          0.816667,0.50,0.00,0.43,0.22,0.00,0.37,0.20,0.00,0.63,0.19,0.00,0.48,0.19,0.00,0.63,0.21,0.40,0.40,0.22,0.00,0.55,0.20,0.16,0.47,0.18,0.12,1.00,0.21,0.00,0.57,0.21,0.81,0.59,0.50,0.00,0.00,0.50,0.00,0.38,0.22,0.00,0.07,0.20,0.00,0.60,0.20,0.00,0.56,0.50,0.00,0.32,0.22,0.00,0.46,0.21,0.54,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      51,          0.833333,0.50,0.00,0.44,0.22,0.00,0.38,0.20,0.00,0.63,0.19,0.00,0.48,0.19,0.00,0.63,0.21,0.40,0.40,0.22,0.00,0.55,0.20,0.16,0.47,0.18,0.12,1.00,0.21,0.00,0.57,0.21,0.81,0.59,0.50,0.00,0.00,0.50,0.00,0.38,0.22,0.00,0.06,0.20,0.00,0.60,0.20,0.00,0.56,0.50,0.00,0.32,0.22,0.00,0.46,0.21,0.53,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      52,          0.850000,0.50,0.00,0.41,0.22,0.00,0.35,0.20,0.00,0.63,0.19,0.00,0.47,0.19,0.00,0.63,0.21,0.40,0.41,0.22,0.00,0.55,0.19,0.16,0.46,0.18,0.12,1.00,0.21,0.00,0.57,0.21,0.80,0.59,0.50,0.00,0.00,0.50,0.00,0.37,0.22,0.00,0.08,0.20,0.00,0.60,0.20,0.00,0.54,0.50,0.00,0.32,0.22,0.00,0.46,0.21,0.53,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      53,          0.866667,0.50,0.00,0.40,0.22,0.00,0.34,0.20,0.00,0.63,0.19,0.00,0.47,0.19,0.00,0.63,0.22,0.39,0.42,0.22,0.00,0.55,0.19,0.16,0.45,0.18,0.12,1.00,0.21,0.00,0.58,0.21,0.80,0.59,0.50,0.00,0.00,0.50,0.00,0.37,0.22,0.00,0.08,0.20,0.00,0.59,0.20,0.00,0.51,0.50,0.00,0.32,0.22,0.00,0.46,0.21,0.53,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      54,          0.883333,0.50,0.00,0.39,0.22,0.00,0.35,0.20,0.00,0.63,0.19,0.00,0.46,0.19,0.00,0.63,0.22,0.39,0.43,0.22,0.00,0.55,0.19,0.16,0.43,0.18,0.12,1.00,0.21,0.00,0.59,0.21,0.80,0.59,0.50,0.00,0.00,0.50,0.00,0.37,0.22,0.00,0.08,0.20,0.00,0.57,0.20,0.00,0.48,0.50,0.00,0.32,0.22,0.00,0.46,0.21,0.53,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      55,          0.900000,0.50,0.00,0.36,0.22,0.00,0.34,0.20,0.00,0.63,0.19,0.00,0.46,0.19,0.00,0.63,0.22,0.38,0.44,0.22,0.00,0.56,0.18,0.16,0.42,0.18,0.13,1.00,0.21,0.00,0.60,0.21,0.79,0.57,0.50,0.00,0.00,0.50,0.00,0.34,0.22,0.00,0.08,0.20,0.00,0.53,0.19,0.00,0.45,0.50,0.00,0.32,0.22,0.00,0.46,0.21,0.53,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      56,          0.916667,0.50,0.00,0.30,0.22,0.00,0.28,0.20,0.00,0.63,0.19,0.00,0.45,0.19,0.00,0.63,0.22,0.38,0.46,0.22,0.00,0.56,0.18,0.16,0.40,0.18,0.13,1.00,0.21,0.00,0.60,0.20,0.80,0.54,0.50,0.00,0.00,0.50,0.00,0.32,0.21,0.00,0.06,0.19,0.00,0.50,0.19,0.00,0.42,0.50,0.00,0.32,0.22,0.00,0.45,0.21,0.53,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      57,          0.933333,0.50,0.00,0.23,0.21,0.00,0.22,0.20,0.00,0.63,0.19,0.00,0.44,0.19,0.00,0.63,0.22,0.37,0.47,0.22,0.00,0.57,0.17,0.17,0.38,0.17,0.13,1.00,0.21,0.00,0.60,0.20,0.80,0.50,0.50,0.00,0.00,0.50,0.00,0.27,0.21,0.00,0.03,0.19,0.00,0.47,0.18,0.00,0.39,0.50,0.00,0.32,0.22,0.00,0.45,0.21,0.53,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      58,          0.950000,0.50,0.00,0.15,0.21,0.00,0.16,0.20,0.00,0.63,0.19,0.00,0.43,0.19,0.00,0.63,0.22,0.37,0.49,0.21,0.00,0.57,0.00,0.00,0.00,0.17,0.13,1.00,0.21,0.00,0.59,0.19,0.80,0.46,0.50,0.00,0.00,0.50,0.00,0.20,0.20,0.00,0.00,0.18,0.00,0.44,0.18,0.00,0.37,0.50,0.00,0.32,0.22,0.00,0.45,0.21,0.53,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      59,          0.966667,0.50,0.00,0.09,0.20,0.00,0.12,0.20,0.00,0.63,0.19,0.00,0.41,0.19,0.00,0.63,0.22,0.34,0.48,0.21,0.00,0.58,0.00,0.00,0.00,0.17,0.14,1.00,0.20,0.00,0.60,0.18,0.79,0.41,0.50,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.18,0.00,0.41,0.17,0.00,0.35,0.50,0.00,0.33,0.22,0.00,0.45,0.21,0.53,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      60,          0.983333,0.50,0.00,0.04,0.19,0.00,0.07,0.20,0.00,0.63,0.19,0.00,0.44,0.19,0.00,0.63,0.22,0.37,0.37,0.22,0.00,0.56,0.16,0.17,0.31,0.17,0.14,1.00,0.21,0.00,0.62,0.18,0.80,0.37,0.50,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.17,0.00,0.38,0.17,0.00,0.36,0.50,0.00,0.33,0.22,0.00,0.45,0.21,0.53,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      61,          1.000000,0.50,0.00,0.05,0.19,0.00,0.06,0.20,0.00,0.63,0.19,0.00,0.45,0.17,0.00,0.63,0.22,0.38,0.33,0.22,0.00,0.48,0.19,0.14,0.27,0.18,0.13,1.00,0.21,0.00,0.62,0.17,0.78,0.40,0.50,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.17,0.00,0.45,0.18,0.00,0.35,0.50,0.00,0.33,0.22,0.00,0.45,0.21,0.53,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      62,          1.016667,0.50,0.00,0.17,0.21,0.00,0.24,0.19,0.00,0.63,0.20,0.00,0.46,0.16,0.00,0.62,0.22,0.39,0.36,0.22,0.00,0.38,0.22,0.08,0.25,0.19,0.12,1.00,0.22,0.00,0.57,0.19,0.71,0.51,0.50,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.19,0.00,0.56,0.20,0.00,0.29,0.50,0.00,0.33,0.22,0.00,0.46,0.21,0.53,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      63,          1.033333,0.50,0.00,0.32,0.22,0.00,0.49,0.19,0.00,0.57,0.20,0.00,0.46,0.17,0.00,0.68,0.21,0.39,0.39,0.22,0.00,0.30,0.23,0.07,0.33,0.19,0.10,1.00,0.23,0.00,0.51,0.21,0.69,0.60,0.50,0.00,0.00,0.17,0.00,1.00,0.00,0.00,0.04,0.20,0.00,0.51,0.21,0.00,0.19,0.50,0.00,0.35,0.22,0.00,0.46,0.21,0.52,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      64,          1.050000,0.50,0.00,0.41,0.22,0.00,0.38,0.18,0.00,0.57,0.20,0.00,0.47,0.17,0.00,0.67,0.21,0.39,0.40,0.22,0.00,0.31,0.23,0.08,0.43,0.19,0.08,1.00,0.23,0.00,0.41,0.21,0.79,0.60,0.50,0.00,0.00,0.50,0.00,0.39,0.22,0.00,0.02,0.20,0.00,0.46,0.22,0.00,0.26,0.50,0.00,0.35,0.22,0.00,0.46,0.21,0.52,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      65,          1.066667,0.50,0.00,0.31,0.23,0.00,0.32,0.17,0.00,0.57,0.20,0.00,0.41,0.18,0.00,0.68,0.22,0.34,0.41,0.22,0.00,0.30,0.23,0.08,0.42,0.20,0.08,1.00,0.23,0.00,0.39,0.21,0.76,0.63,0.50,0.00,0.00,0.50,0.00,0.35,0.22,0.00,0.06,0.20,0.00,0.47,0.22,0.00,0.28,0.50,0.00,0.41,0.22,0.00,0.46,0.21,0.51,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      66,          1.083333,0.50,0.00,0.31,0.23,0.00,0.32,0.16,0.00,0.56,0.20,0.00,0.37,0.19,0.00,0.66,0.22,0.32,0.41,0.22,0.00,0.29,0.23,0.08,0.41,0.20,0.08,1.00,0.23,0.00,0.38,0.21,0.76,0.63,0.50,0.00,0.00,0.50,0.00,0.35,0.22,0.00,0.06,0.19,0.00,0.42,0.22,0.00,0.27,0.50,0.00,0.42,0.22,0.00,0.47,0.21,0.50,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      67,          1.100000,0.50,0.00,0.24,0.23,0.00,0.29,0.16,0.00,0.53,0.21,0.00,0.43,0.18,0.00,0.67,0.22,0.36,0.39,0.22,0.00,0.29,0.23,0.08,0.40,0.20,0.08,1.00,0.23,0.00,0.37,0.21,0.75,0.63,0.50,0.00,0.00,0.50,0.00,0.35,0.22,0.00,0.07,0.19,0.00,0.42,0.22,0.00,0.27,0.50,0.00,0.42,0.22,0.00,0.48,0.21,0.50,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      68,          1.116667,0.50,0.00,0.23,0.23,0.00,0.29,0.17,0.00,0.52,0.20,0.00,0.46,0.18,0.00,0.56,0.22,0.39,0.39,0.22,0.00,0.29,0.23,0.08,0.40,0.20,0.08,1.00,0.23,0.00,0.37,0.21,0.74,0.63,0.50,0.00,0.00,0.50,0.00,0.36,0.22,0.00,0.08,0.19,0.00,0.42,0.22,0.00,0.27,0.50,0.00,0.42,0.22,0.00,0.48,0.21,0.50,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      69,          1.133333,0.50,0.00,0.26,0.23,0.00,0.30,0.17,0.00,0.53,0.21,0.00,0.47,0.18,0.00,0.56,0.22,0.39,0.39,0.22,0.00,0.28,0.23,0.08,0.40,0.20,0.08,1.00,0.23,0.00,0.36,0.21,0.74,0.63,0.50,0.00,0.00,0.50,0.00,0.35,0.22,0.00,0.06,0.19,0.00,0.42,0.22,0.00,0.27,0.50,0.00,0.41,0.22,0.00,0.49,0.21,0.51,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      70,          1.150000,0.50,0.00,0.30,0.23,0.00,0.31,0.16,0.00,0.51,0.21,0.00,0.46,0.19,0.00,0.60,0.22,0.39,0.39,0.22,0.00,0.29,0.23,0.08,0.40,0.20,0.08,1.00,0.23,0.00,0.36,0.21,0.75,0.63,0.50,0.00,0.00,0.50,0.00,0.35,0.22,0.00,0.05,0.19,0.00,0.42,0.22,0.00,0.27,0.50,0.00,0.41,0.23,0.00,0.50,0.21,0.51,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      71,          1.166667,0.50,0.00,0.32,0.22,0.00,0.32,0.17,0.00,0.51,0.20,0.00,0.46,0.18,0.00,0.55,0.22,0.39,0.39,0.22,0.00,0.28,0.23,0.08,0.40,0.20,0.08,1.00,0.23,0.00,0.36,0.21,0.75,0.63,0.50,0.00,0.00,0.50,0.00,0.36,0.22,0.00,0.05,0.19,0.00,0.42,0.22,0.00,0.27,0.50,0.00,0.40,0.23,0.00,0.49,0.21,0.50,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      72,          1.183333,0.50,0.00,0.34,0.22,0.00,0.33,0.17,0.00,0.53,0.20,0.00,0.46,0.17,0.00,0.54,0.22,0.39,0.39,0.22,0.00,0.28,0.23,0.08,0.40,0.20,0.08,1.00,0.23,0.00,0.36,0.21,0.76,0.63,0.50,0.00,0.00,0.50,0.00,0.36,0.22,0.00,0.05,0.19,0.00,0.42,0.22,0.00,0.27,0.50,0.00,0.40,0.23,0.00,0.49,0.21,0.50,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      73,          1.200000,0.50,0.00,0.35,0.22,0.00,0.33,0.17,0.00,0.53,0.21,0.00,0.46,0.17,0.00,0.55,0.22,0.39,0.39,0.22,0.00,0.28,0.23,0.08,0.40,0.20,0.08,1.00,0.23,0.00,0.36,0.21,0.76,0.63,0.50,0.00,0.00,0.50,0.00,0.36,0.22,0.00,0.04,0.19,0.00,0.42,0.22,0.00,0.27,0.50,0.00,0.40,0.23,0.00,0.49,0.21,0.51,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
